level,word,meaning,field,example_index,situation,ko,current_tl,proposed_tl,reason,issue_count_for_word
2,담배,タバコ、タバコ,examples.tl,10,税金の話,담배 값이 올라서 많은 사람들이 금연을 시작했어요.,담배 값이 올라서 많은 사람들이 금연을 시작했어요.,,same_as_korean,1
2,답장,返信、返事の手紙,example_tl,,手紙を送った後,친구에게 편지를 보냈는데 아직 답장이 없어요.,친구에게 편지를 보냈는데 아직 답장이 없어요.,,same_as_korean,11
2,답장,返信、返事の手紙,examples.tl,1,手紙を送った後,친구에게 편지를 보냈는데 아직 답장이 없어요.,친구에게 편지를 보냈는데 아직 답장이 없어요.,,same_as_korean,11
2,답장,返信、返事の手紙,examples.tl,10,感謝の気持ちを伝える,바쁘신데 답장을 보내 주셔서 감사합니다.,바쁘신데 답장을 보내 주셔서 감사합니다.,,same_as_korean,11
2,답장,返信、返事の手紙,examples.tl,2,テキストメッセージ,카카오톡 메시지를 보냈는데 답장이 늦게 왔어요.,카카오톡 메시지를 보냈는데 답장이 늦게 왔어요.,,same_as_korean,11
2,답장,返信、返事の手紙,examples.tl,3,メールチェック中,회사에서 보낸 이메일에 빨리 답장해 주세요.,회사에서 보낸 이메일에 빨리 답장해 주세요.,,same_as_korean,11
2,답장,返信、返事の手紙,examples.tl,4,連絡が取れないとき,몇 번 문자를 보냈는데 답장이 없어서 걱정돼요.,몇 번 문자를 보냈는데 답장이 없어서 걱정돼요.,,same_as_korean,11
2,답장,返信、返事の手紙,examples.tl,5,手紙の書き方クラス,편지를 받으면 꼭 답장을 써야 해요.,편지를 받으면 꼭 답장을 써야 해요.,,same_as_korean,11
2,답장,返信、返事の手紙,examples.tl,6,友人に連絡する,오랜만에 연락했더니 친구가 반가운 답장을 보냈어요.,오랜만에 연락했더니 친구가 반가운 답장을 보냈어요.,,same_as_korean,11
2,답장,返信、返事の手紙,examples.tl,7,求人応募,지원서를 보낸 회사에서 면접 답장이 왔어요.,지원서를 보낸 회사에서 면접 답장이 왔어요.,,same_as_korean,11
2,답장,返信、返事の手紙,examples.tl,8,ロマンスについて話す,좋아하는 사람에게 고백 문자를 보냈는데 답장을 기다리고 있어요.,좋아하는 사람에게 고백 문자를 보냈는데 답장을 기다리고 있어요.,,same_as_korean,11
2,답장,返信、返事の手紙,examples.tl,9,先生に質問する,선생님께 질문 이메일을 드렸더니 빠르게 답장해 주셨어요.,선생님께 질문 이메일을 드렸더니 빠르게 답장해 주셨어요.,,same_as_korean,11
2,당근,ニンジン,example_tl,,料理の食材について話す,카레를 만들 때 당근과 감자를 넣어요.,카레를 만들 때 당근과 감자를 넣어요.,,same_as_korean,11
2,당근,ニンジン,examples.tl,1,料理の食材について話す,카레를 만들 때 당근과 감자를 넣어요.,카레를 만들 때 당근과 감자를 넣어요.,,same_as_korean,11
2,당근,ニンジン,examples.tl,10,母の料理,어머니가 당근으로 맛있는 나물을 만들어 주셨어요.,어머니가 당근으로 맛있는 나물을 만들어 주셨어요.,,same_as_korean,11
2,당근,ニンジン,examples.tl,2,健康食品,당근은 눈에 좋은 비타민A가 많이 들어 있어요.,당근은 눈에 좋은 비타민A가 많이 들어 있어요.,,same_as_korean,11
2,당근,ニンジン,examples.tl,3,マートショッピング,마트에서 당근 세 개를 샀어요.,마트에서 당근 세 개를 샀어요.,,same_as_korean,11
2,당근,ニンジン,examples.tl,4,お子様のおかず,아이가 당근을 싫어해서 잘게 썰어서 숨겨 놓았어요.,아이가 당근을 싫어해서 잘게 썰어서 숨겨 놓았어요.,,same_as_korean,11
