level,word,meaning,field,example_index,situation,ko,current_tl,proposed_tl,reason,issue_count_for_word
5,가설검증,仮説検証・検証,example_tl,,実験計画,가설검증을 위해 엄밀한 실험 설계가 필요하다.,가설검증을 위해 엄밀한 실험 설계가 필요하다.,,same_as_korean,11
5,가설검증,仮説検証・検証,examples.tl,1,実験計画,가설검증을 위해 엄밀한 실험 설계가 필요하다.,가설검증을 위해 엄밀한 실험 설계가 필요하다.,,same_as_korean,11
5,가설검증,仮説検証・検証,examples.tl,10,研究報告書,가설검증의 절차와 결과를 상세히 보고서에 기술했다.,가설검증의 절차와 결과를 상세히 보고서에 기술했다.,,same_as_korean,11
5,가설검증,仮説検証・検証,examples.tl,2,統計分析,수집된 데이터를 바탕으로 가설검증을 실시했다.,수집된 데이터를 바탕으로 가설검증을 실시했다.,,same_as_korean,11
5,가설검증,仮説検証・検証,examples.tl,3,研究方法のクラス,가설검증 과정에서 변수를 통제하는 것이 중요하다.,가설검증 과정에서 변수를 통제하는 것이 중요하다.,,same_as_korean,11
5,가설검증,仮説検証・検証,examples.tl,4,論文執筆,연구자는 가설검증 결과를 객관적으로 기술해야 한다.,연구자는 가설검증 결과를 객관적으로 기술해야 한다.,,same_as_korean,11
5,가설검증,仮説検証・検証,examples.tl,5,研究チームのミーティング,이번 가설검증에서 우리의 예측이 옳았음이 증명되었다.,이번 가설검증에서 우리의 예측이 옳았음이 증명되었다.,,same_as_korean,11
5,가설검증,仮説検証・検証,examples.tl,6,統計講義,가설검증에는 귀무가설과 대립가설의 설정이 선행되어야 한다.,가설검증에는 귀무가설과 대립가설의 설정이 선행되어야 한다.,,same_as_korean,11
5,가설검증,仮説検証・検証,examples.tl,7,データレビュー,가설검증 결과가 예상과 다르게 나와 연구 방향을 수정했다.,가설검증 결과가 예상과 다르게 나와 연구 방향을 수정했다.,,same_as_korean,11
5,가설검증,仮説検証・検証,examples.tl,8,研究発表,가설검증을 통해 기존 이론의 한계를 밝혔다.,가설검증을 통해 기존 이론의 한계를 밝혔다.,,same_as_korean,11
5,가설검증,仮説検証・検証,examples.tl,9,指導教員の相談,가설검증 방법이 적절한지 지도교수와 상의했다.,가설검증 방법이 적절한지 지도교수와 상의했다.,,same_as_korean,11
5,가속화,スピードアップ。加速度,example_tl,,技術進歩に関するディスカッション,디지털 전환의 가속화로 인해 전통 산업의 구조가 근본적으로 바뀌고 있다.,디지털 전환의 가속화로 인해 전통 산업의 구조가 근본적으로 바뀌고 있다.,,same_as_korean,11
5,가속화,スピードアップ。加速度,examples.tl,1,技術進歩に関するディスカッション,디지털 전환의 가속화로 인해 전통 산업의 구조가 근본적으로 바뀌고 있다.,디지털 전환의 가속화로 인해 전통 산업의 구조가 근본적으로 바뀌고 있다.,,same_as_korean,11
5,가속화,スピードアップ。加速度,examples.tl,10,スタートアップフォーラム,스타트업 생태계의 가속화를 위해 규제 샌드박스 제도를 적극 활용해야 한다.,스타트업 생태계의 가속화를 위해 규제 샌드박스 제도를 적극 활용해야 한다.,,same_as_korean,11
5,가속화,スピードアップ。加速度,examples.tl,2,経済政策分析,정부는 친환경 에너지 전환의 가속화를 위해 대규모 투자를 단행했다.,정부는 친환경 에너지 전환의 가속화를 위해 대규모 투자를 단행했다.,,same_as_korean,11
5,가속화,スピードアップ。加速度,examples.tl,3,社会の変化を観察する,팬데믹 이후 비대면 서비스의 가속화가 전 세계적으로 나타나고 있다.,팬데믹 이후 비대면 서비스의 가속화가 전 세계적으로 나타나고 있다.,,same_as_korean,11
5,가속화,スピードアップ。加速度,examples.tl,4,経営戦略レポート,인공지능 도입의 가속화로 인해 많은 기업들이 업무 방식을 재편하고 있다.,인공지능 도입의 가속화로 인해 많은 기업들이 업무 방식을 재편하고 있다.,,same_as_korean,11
5,가속화,スピードアップ。加速度,examples.tl,5,学術セミナー,기술 혁신의 가속화는 사회 전반에 걸쳐 적응의 속도를 높일 것을 요구한다.,기술 혁신의 가속화는 사회 전반에 걸쳐 적응의 속도를 높일 것을 요구한다.,,same_as_korean,11
5,가속화,スピードアップ。加速度,examples.tl,6,環境科学講座,기후변화의 가속화로 인해 해수면 상승 속도가 예측치를 훨씬 초과하고 있다.,기후변화의 가속화로 인해 해수면 상승 속도가 예측치를 훨씬 초과하고 있다.,,same_as_korean,11
5,가속화,スピードアップ。加速度,examples.tl,7,業界動向分析,자동화 기술의 가속화는 노동 시장의 구조적 변화를 불가피하게 만들고 있다.,자동화 기술의 가속화는 노동 시장의 구조적 변화를 불가피하게 만들고 있다.,,same_as_korean,11
5,가속화,スピードアップ。加速度,examples.tl,8,研究機関の発表,반도체 기술 발전의 가속화로 컴퓨터 처리 속도가 10년 만에 수백 배 향상되었다.,반도체 기술 발전의 가속화로 컴퓨터 처리 속도가 10년 만에 수백 배 향상되었다.,,same_as_korean,11
5,가속화,スピードアップ。加速度,examples.tl,9,国際会議での発言,디지털 인프라 구축의 가속화 없이는 4차 산업혁명에 뒤처질 수밖에 없다.,디지털 인프라 구축의 가속화 없이는 4차 산업혁명에 뒤처질 수밖에 없다.,,same_as_korean,11
5,가치판단,価値判断。自分の価値観に基づいて、何かが良い、悪い、正しい、または間違っているという評価,example_tl,,哲学の講義で,가치판단은 사실 판단과 달리 객관적 검증이 어려운 규범적 주장이다.,가치판단은 사실 판단과 달리 객관적 검증이 어려운 규범적 주장이다.,,same_as_korean,11
