level,word,meaning,field,example_index,situation,ko,current_tl,proposed_tl,reason,issue_count_for_word
4,가짜뉴스,フェイクニュース。偽情報,example_tl,,フェイクニュースの蔓延,소셜미디어를 통해 가짜뉴스가 빠르게 확산되고 있다.,소셜미디어를 통해 가짜뉴스가 빠르게 확산되고 있다.,,same_as_korean,11
4,가짜뉴스,フェイクニュース。偽情報,examples.tl,1,フェイクニュースの蔓延,소셜미디어를 통해 가짜뉴스가 빠르게 확산되고 있다.,소셜미디어를 통해 가짜뉴스가 빠르게 확산되고 있다.,,same_as_korean,11
4,가짜뉴스,フェイクニュース。偽情報,examples.tl,10,フェイクニュースをどうやって報道するか,SNS에서 가짜뉴스를 발견하면 신고 기능을 이용할 수 있다.,SNS에서 가짜뉴스를 발견하면 신고 기능을 이용할 수 있다.,,same_as_korean,11
4,가짜뉴스,フェイクニュース。偽情報,examples.tl,2,フェイクニュースの特定,가짜뉴스를 판별하기 위해서는 출처를 꼭 확인해야 한다.,가짜뉴스를 판별하기 위해서는 출처를 꼭 확인해야 한다.,,same_as_korean,11
4,가짜뉴스,フェイクニュース。偽情報,examples.tl,3,フェイクニュースの被害,가짜뉴스로 인해 선량한 사람이 피해를 보는 경우가 있다.,가짜뉴스로 인해 선량한 사람이 피해를 보는 경우가 있다.,,same_as_korean,11
4,가짜뉴스,フェイクニュース。偽情報,examples.tl,4,フェイクニュース規制,정부는 가짜뉴스를 규제하는 법안 마련을 검토하고 있다.,정부는 가짜뉴스를 규제하는 법안 마련을 검토하고 있다.,,same_as_korean,11
4,가짜뉴스,フェイクニュース。偽情報,examples.tl,5,ファクトチェック,팩트체크 기관들은 가짜뉴스를 검증하고 바로잡는 역할을 한다.,팩트체크 기관들은 가짜뉴스를 검증하고 바로잡는 역할을 한다.,,same_as_korean,11
4,가짜뉴스,フェイクニュース。偽情報,examples.tl,6,選挙とフェイクニュース,선거 기간에는 특히 가짜뉴스가 기승을 부린다.,선거 기간에는 특히 가짜뉴스가 기승을 부린다.,,same_as_korean,11
4,가짜뉴스,フェイクニュース。偽情報,examples.tl,7,フェイクニュース教育,미디어 리터러시 교육은 가짜뉴스를 구별하는 능력을 키워준다.,미디어 리터러시 교육은 가짜뉴스를 구별하는 능력을 키워준다.,,same_as_korean,11
4,가짜뉴스,フェイクニュース。偽情報,examples.tl,8,健康関連のフェイクニュース,근거 없는 건강 관련 가짜뉴스는 공중 보건에 위협이 된다.,근거 없는 건강 관련 가짜뉴스는 공중 보건에 위협이 된다.,,same_as_korean,11
4,가짜뉴스,フェイクニュース。偽情報,examples.tl,9,フェイクニュースに対するプラットフォームの責任,플랫폼 기업도 가짜뉴스 유포에 대한 책임을 져야 한다는 주장이 있다.,플랫폼 기업도 가짜뉴스 유포에 대한 책임을 져야 한다는 주장이 있다.,,same_as_korean,11
4,감독,ディレクター。監督者,example_tl,,映画撮影,감독은 배우들에게 장면의 감정을 자세히 설명했습니다.,감독은 배우들에게 장면의 감정을 자세히 설명했습니다.,,same_as_korean,11
4,감독,ディレクター。監督者,examples.tl,1,映画撮影,감독은 배우들에게 장면의 감정을 자세히 설명했습니다.,감독은 배우들에게 장면의 감정을 자세히 설명했습니다.,,same_as_korean,11
4,감독,ディレクター。監督者,examples.tl,10,デビュー監督,신인 감독의 작품이 예상을 뛰어넘는 흥행 성적을 기록했습니다.,신인 감독의 작품이 예상을 뛰어넘는 흥행 성적을 기록했습니다.,,same_as_korean,11
4,감독,ディレクター。監督者,examples.tl,2,監督デビュー作,그는 30세의 나이에 첫 장편 영화 감독으로 데뷔했습니다.,그는 30세의 나이에 첫 장편 영화 감독으로 데뷔했습니다.,,same_as_korean,11
4,감독,ディレクター。監督者,examples.tl,3,監督インタビュー,감독은 이 영화를 만들게 된 계기를 인터뷰에서 밝혔습니다.,감독은 이 영화를 만들게 된 계기를 인터뷰에서 밝혔습니다.,,same_as_korean,11
4,감독,ディレクター。監督者,examples.tl,4,演劇監督,연극 감독은 무대 위의 모든 요소를 조율하는 역할을 합니다.,연극 감독은 무대 위의 모든 요소를 조율하는 역할을 합니다.,,same_as_korean,11
